date,asset1,asset2,asset3,asset4,asset5,asset6,asset7,asset8,asset9,bm
7/1/14,0.009828273,0.010949852,0.007860182,0.006860576,0.012071497,0.005379418,0.006951073,0.008505152,0.004620908,0.007271355
7/2/14,-0.006431778,-0.005319454,-0.002410707,0.000715774,-0.004206875,-0.00044208,2.79E-06,0.000440036,-0.003429905,-0.000425507
7/3/14,0.006927156,0.007224168,0.006835377,0.00548181,0.007519864,0.005212473,0.005308915,0.005403266,0.003624128,0.005462414
7/7/14,-0.014215352,-0.017709668,-0.00953071,,-0.021195792,-0.004353509,,-0.005103916,-0.006002536,-0.005772732
7/8/14,-0.007267539,-0.012265875,-0.010789614,-0.006756399,-0.017289668,-0.005469127,-0.0073197,-0.00914123,-0.00476642,-0.00771125
7/9/14,0.000312066,0.00144064,0.005586592,0.004704356,0.002589568,0.003883828,0.004664536,0.005435998,0.002753896,0.004410145
7/10/14,-0.009607793,-0.010153954,-0.006412636,-0.004134426,-0.010708227,-0.003757501,-0.004089108,-0.004416194,-0.003271679,-0.004567189
7/11/14,-0.00355565,-0.001564427,-3.92E-05,0.001569127,0.000458279,0.000157622,0.00132269,0.002472601,-0.000416843,0.001096441
7/14/14,0.004474723,0.004905713,0.43383338,0.004845743,0.005341061,0.003883648,0.004793955,0.005690453,0.002284692,0.004803158
7/15/14,-0.006667484,-0.010116777,-0.006898852,-0.001927277,-0.01360252,,,-0.005259031,-0.000664313,-0.002926821
7/16/14,-0.001005,-0.001929803,0.001235408,0.0043175,-0.002872187,0.006338198,0.003850715,0.001389696,0.003098703,0.00340206
7/17/14,-0.014378907,-0.015579059,-0.012337827,-0.011736521,-0.016802976,-0.011246619,-0.011610505,-0.011971886,-0.011507308,-0.011916673
7/18/14,0.014219809,0.01588658,0.012351442,0.010271051,0.017590742,0.008687275,0.01056391,0.012430558,0.010012663,0.010972192
7/21/14,-0.005016368,-0.004289569,-0.002444977,-0.002290836,-0.003550414,,-0.002289486,-0.002645509,-0.002856505,-0.002443122
7/22/14,0.005818571,0.008285497,,0.005016774,0.010795267,0.004488376,0.005098336,0.005703171,0.004321628,0.005344242
7/23/14,-0.000892623,0.001744228,0.00104583,0.001764894,0.004421541,0.000836953,0.001837113,0.002827068,-6.46E-05,0.00182913
7/24/14,-0.002710952,-0.001584441,0.00255903,0.000499403,-0.000449301,0.000688176,0.000568991,0.000451817,0.001809287,0.000403021
7/25/14,-0.00984966,-0.009979446,-0.005075037,-0.004830704,-0.010111025,-0.004554747,-0.004887493,-0.005216126,-0.004855931,-0.005278734
7/28/14,-0.002815914,-0.004551699,-0.001730922,0.000292587,-0.006302354,0.000310195,-6.67E-05,-0.000439644,0.001588327,-0.000409757
7/29/14,-0.00177019,0.001942934,-0.003127999,-0.004479446,0.00570278,-0.005417705,-0.00432134,-0.003236633,-0.006012362,-0.003844021
7/30/14,0.002141125,0.00437382,0.003804007,0.000223861,0.006617256,-0.000881815,0.000640981,0.002146376,,0.000926954
7/31/14,-0.019130154,-0.023057973,-0.020481278,-0.019935934,-0.026992202,-0.019253677,-0.01979301,-0.020324162,-0.017373123,-0.02004417
8/1/14,-0.00392756,-0.004610837,-0.001477162,-0.002857396,-0.005302211,-0.002978286,-0.002704094,-0.002434145,-0.001957178,-0.002850277
8/4/14,0.006567581,0.008966162,0.007313521,0.007194018,0.01139557,0.006847801,0.007056575,0.00726271,0.004780045,0.00720336
8/5/14,-0.003429928,-0.002874253,-0.006452689,-0.009592674,-0.002314949,-0.010307205,-0.009101435,-0.007914118,-0.007273888,-0.008623589
8/6/14,0.00444743,0.003608877,0.000412135,0.000318548,0.002763508,0.000397455,-2.69E-06,-0.000396963,-0.000581227,0.000276313
8/7/14,-0.500682338,-0.005082761,-0.005238068,-0.005316051,-0.005159358,-0.005344881,,-0.004797321,-0.004583993,-0.005070321
8/8/14,0.009335085,0.010361035,0.011952148,0.011557076,0.011397748,0.011774314,0.011263945,0.010762872,0.011783613,0.011194135
8/11/14,0.007912896,0.009369907,0.005107644,0.00294251,0.010836847,0.002066443,0.003332941,0.004577816,0.002849077,0.003798951
8/12/14,-0.007254431,-0.007757774,-0.003994566,-0.001583498,-0.008263465,-0.00119246,-0.001873889,-0.002542289,-0.001827564,-0.002331122
8/13/14,0.006575848,0.007898594,0.007324234,0.006964772,0.009229198,0.006507371,,0.007934501,0.00718521,0.00727974
8/14/14,0.002146181,,0.005733597,0.004397102,0.000836899,0.004274917,0.004500287,0.004720811,0.004984332,0.004266979
8/15/14,-0.001427367,-0.00146161,0.000955261,5.63E-05,-0.00149663,-0.146158717,,0.001804764,-0.000423643,6.03E-05
8/18/14,0.014129646,0.014705078,0.010588704,0.008594746,0.015280967,0.008212745,0.008883165,0.009537348,0.008759937,0.009331398
8/19/14,0.003153917,0.003543414,0.00453248,0.005199989,0.003933564,0.00394271,0.005017039,0.006065852,0.004698967,0.004902968
8/20/14,-0.00262267,-0.004210571,0.003724254,0.002543505,-0.00579832,0.0026802,0.00255953,0.002441687,0.00314726,0.002036267
8/21/14,0.004939957,0.002194373,0.000309901,0.002974665,-0.000558141,0.004652458,0.00267749,0.00075462,0.002553083,0.002640858
8/22/14,-0.000592889,0.000286419,0.001600248,-0.001858485,,-0.003185089,-0.001496149,0.000154104,-0.002555553,-0.001359968
8/25/14,0.002007802,0.004208542,0.004753243,0.004802877,0.006423774,0.004666308,0.004694129,0.004721209,0.003566045,0.004657589
8/26/14,0.006253163,0.008573302,0.002173035,0.001060063,0.010898043,0.001244663,0.001304537,0.001363817,0.000845598,0.001863061
8/27/14,-0.001188663,-0.001947436,-0.001000164,0.000255796,-0.002704753,0.001035788,0.000181117,,0.001476911,1.68E-05
8/28/14,-0.005350544,-0.005658748,-0.000391569,-0.001556382,-0.596570981,-0.001474513,-0.001559551,-0.001644773,-0.000424054,-0.001876406
8/29/14,0.006238746,0.007239956,0.004842,0.00340404,0.008239786,0.004016938,0.00367942,0.003350039,0.00478356,0.003952938
9/2/14,0.004410512,0.00436253,0.003040321,-0.000499542,0.004314865,-0.001367912,8.82E-05,0.001511184,-0.000688967,0.000418236
9/3/14,-0.005540875,-0.006094778,-0.001502695,-0.000595905,-0.006648285,0.001249749,-0.000880993,-0.002956006,3.87E-05,-0.001284662
9/4/14,-0.003570034,-0.004203383,-0.001476772,-0.001505763,-0.004836344,-0.001555985,-0.001777253,-0.001995226,-0.002975586,-0.00196502
9/5/14,0.003202656,0.002507964,0.004580432,0.00506072,0.001813364,0.004745911,0.005003473,,0.005332792,0.004812067
9/8/14,4.06E-06,0.001924965,-0.001043968,-0.002902313,0.003850148,-0.003106335,-0.002491588,-0.001889672,-0.002551235,-0.002152086
9/9/14,-0.010604686,-0.011761991,-0.008203348,-0.006527243,-0.012918038,-0.006691992,-0.006725866,-0.006760103,-0.007013535,-0.007114808
9/10/14,0.003037061,0.005670973,0.004128265,,0.008306393,0.001861662,0.003659131,0.005416198,-7.08E-05,0.003813622
9/11/14,0.006467141,0.00654086,0.001497849,0.001159317,0.006614153,0.00250836,0.001372713,0.000266661,0.003585632,0.00176995
9/12/14,-0.011063836,-0.009960137,-0.006986475,-0.00594115,-0.008862092,,-0.006271093,-0.00642856,-0.009948733,-0.00655599
